,Unnamed: 0,OBJECTID,Shape,source_name,source_link,event_id,event_date,event_time,event_title,event_description,location_description,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,storm_name,photo_link,comments,event_import_source,event_import_id,latitude,longitude,country_name,country_code,admin_division_name,gazetteer_closest_point,gazetteer_distance,submitted_date,last_edited_date,elev_files
11,78,4608091,"(-72.15072667099997, 43.90637005000008)",WNTK,https://wntk.wordpress.com/2018/11/28/rock-slide-closes-i-91-in-fairlee-vt/,14271,2018-11-28 14:00:00,07:00,"Rock Slide on I91S - Fairlee, VT",A rock slide on I91South resulted in 2 vehicles being damaged. Rocks fell off the east side of the roadway onto the travel lane near mile marker 93,"I-91 S, Fairlee, Vermont, 05045",exact,rock_fall,no_apparent_trigger,small,above_road,0.0,0.0,,,,GLC,,43.90637005,-72.15072667,United States,US,Vermont,Bradford,8.79,2020-08-07 13:21:41.000001,2021-04-10 04:41:29,11.tiff
12,79,4608092,"(-117.44523164399999, 33.74504855200007)",The Press-Enterprise,https://www.pe.com/2018/11/29/no-flooding-in-holy-fire-area-yet-but-heaviest-rain-is-to-come/,14280,2018-11-30 00:00:00,unknown,Temescal Canyon Road Debris Flow,Rain in the Holy Fire burn area caused a debris flow on Temescal Canyon Road at Horsethief Canyon Wash.,"Temescal Canyon Road, Corona, California, 92883",5km,debris_flow,rain,unknown,burned_area,,,,https://www.pe.com/2018/11/29/no-flooding-in-holy-fire-area-yet-but-heaviest-rain-is-to-come/,,GLC,,33.74504855,-117.44523164,United States,US,California,Corona,18.77,2020-08-08 22:34:29,2021-04-10 04:41:29,12.tiff
13,81,4608094,"(-116.00850792499995, 45.90848177000004)",Idaho County Free Press,https://www.idahocountyfreepress.com/news/dispatch-log-icso-gpd-nov-26-dec-2-2018/article_d31fe4c5-f1e9-5686-afa6-a2dcbd657f34.html,14251,2018-11-28 02:00:00,unknown,Grangeville Rockslide,Rockslide occurred near Grangeville on Highway 14 Mile Post 9.,"ID-14, Grangeville, Idaho, 83530",10km,rock_fall,unknown,unknown,above_road,,,,,,GLC,,45.90848177,-116.00850793,United States,US,Idaho,Grangeville,9.35,2020-08-04 01:20:53,2021-04-10 04:40:41,13.tiff
14,87,4608100,"(-121.39415498199998, 39.846783222000056)",The Sun,https://www.sbsun.com/2018/11/29/mudslide-shuts-down-highway-38-near-valley-of-the-falls/,14405,2018-11-29 06:00:00,unknown,Feather River Canyon Debris Flow,Debris flow blocked Highway 70 near the Camp Fire burn area in the Feather River Canyon.,"CA-70, Feather River Canyon, California, 95965",10km,debris_flow,rain,unknown,burned_area,,,,,Same date as Honey Run Road event.,GLC,,39.84678322,-121.39415498,United States,US,California,Stirling City,13.13,2020-08-05 04:32:45,2021-04-10 04:40:41,14.tiff
15,90,4608103,"(-149.55791947099996, 60.983444579000036)",Anchorage Daily News,adn.com/alaska-news/anchorage/2018/09/09/apd-warns-of-landslide-danger-on-seward-highway-near-indian/,14469,2018-09-08 22:00:00,19:00,Seward Highway Mile 105 Landslide Sep 8 2018,Landslide occurred on Seward Highway at mile 105 near Indian. It blocked the northbound lane and no injuries reported.,"Mile 105, Seward Hwy, Indian, Alaska, 99540",1km,landslide,unknown,small,above_road,,0.0,,https://www.adn.com/resizer/gFX675evPZlAtQYEzwgKeQImgT0=/1200x0/s3.amazonaws.com/arc-wordpress-client-uploads/adn/wp-content/uploads/2018/09/09024848/Landslide-01.jpg,Same location as December 2017.,GLC,,60.98344458,-149.55791947,United States,US,Alaska,Rainbow,5.09,2020-07-16 21:31:35,2021-04-10 04:45:33,15.tiff
16,93,4608106,"(-116.67436003199998, 33.66993931700006)",The Orange County Register,https://www.ocregister.com/2018/10/26/after-devastating-fires-officials-warn-winter-rains-could-bring-dangerous-debris-flows/,14472,2018-08-18 03:00:00,unknown,Lake Hemet Landslide,"A month after the Cranston Fire, a summer storm caused a debris flow to cover parts of Highway 74 near Idyllwild between Hemet and Palm Springs, and buried Lake Hemet Campground in the San Jacinto Moutnains.","CA-74, Mountain Center, California, 92561",1km,debris_flow,rain,large,burned_area,,,,https://i1.wp.com/scng-dash.digitalfirstmedia.com/wp-content/uploads/2018/10/OCR-L-DEBRISFLOW-1028_05.jpg?fit=620%2C9999px&ssl=1,,GLC,,33.66993932,-116.67436003,United States,US,California,Palm Springs,22.22,2020-07-23 02:46:00,2021-04-10 04:47:09,16.tiff
17,95,4608108,"(-117.06728406599996, 47.224122057000045)",Whitman Count Gazette,https://www.wcgazette.com/story/2018/09/06/news/tekoa-pool-run-ends-post-mudslide/26705.html,14356,2017-11-15 18:00:00,unknown,Tekoa Pool Mudslide,A blown water main at the Tekoa school caused a mudslide into the Tekoa swimming pool.,"N College St, Tekoa, Washington, 99033",exact,mudslide,leaking_pipe,small,natural_slope,,,,https://www.wcgazette.com/home/cms_data/dfault/photos/stories/id/0/5/26705/.TEMP/s_bottomTEMP900x420-1296.jpeg,Estimated date.,GLC,,47.22412206,-117.06728407,United States,US,Washington,Tekoa,0.81,2020-08-16 16:46:24,2021-04-10 04:45:33,17.tiff
18,103,4608116,"(-91.59904351599994, 47.065503480000075)",Twin Cities Pioneer Press,https://www.twincities.com/2018/11/19/driver-injured-after-hitting-boulders-from-north-shore-rock-slide/,14247,2018-11-17 14:00:00,06:00,"Rockslide North of Twin Cities, Minnesota",A rockslide near the Silver Cliff Tunnel resulted in a person being injured when she hit the boulders that had fallen on the roadway.,"Silver Cliff Tunnel, Two Harbors, Minnesota, 55616",exact,rock_fall,no_apparent_trigger,small,above_road,0.0,1.0,,,,GLC,,47.06550348,-91.59904352,United States,US,Minnesota,Two Harbors,6.25,2020-08-07 13:21:41.000001,2021-04-10 04:47:57.000001,18.tiff
19,105,4608118,"(-121.70962339199997, 39.73889159300006)",KOLD 13 News,https://www.kold.com/2018/11/30/california-floods-recede-after-storms-wildfire-burn-areas/,14296,2018-11-29 22:00:00,18:00,Heavy rains cause mudflows and debris flows across region of Paradise and Chico,"Heavy rain in the vicinity of the Paradise fire has caused a number of mudflows and debris flows to travel downhill into Chico. Multiple roads were hit, forcing mandatory evacuations and about 100 vehicles to be stuck.","95928, Chico, California",10km,mudslide,downpour,very_large,burned_area,0.0,0.0,,https://www.kold.com/resizer/nYCbYvtKLh8Du9kEYxz8s4Mj3dg=/1400x0/arc-anglerfish-arc2-prod-raycom.s3.amazonaws.com/public/FRGUDO4MQNA2NCESFG6WNJQHOE.jpg,This reporting covers a large geographic area. The most direct distance between Paradise and Chico is ~10km,GLC,,39.73889159,-121.70962339,United States,US,California,Chico,10.84,2020-08-03 21:26:38,2021-04-10 04:46:21,19.tiff
20,110,4608123,"(-115.95517604199995, 46.222640872000056)",Idaho County Free Press,https://www.idahocountyfreepress.com/news/dispatch-log-icso-gpd-nov-26-dec-2-2018/article_d31fe4c5-f1e9-5686-afa6-a2dcbd657f34.html,14379,2018-11-29 02:00:00,unknown,"Glenwood - Adams, IND",Large boulder fell in the road between Glenwood Rd and Adams Grade.,"Glenwood Rd, Kamiah, Idaho, 83536",1km,unknown,unknown,unknown,above_road,,,,,,GLC,,46.22264087,-115.95517604,United States,US,Idaho,Kamiah,6.17,2020-08-04 01:20:53,2021-04-10 04:41:29,20.tiff
21,113,4608126,"(-74.26526954599996, 40.882642099000066)",Tap Into West Essex,https://www.tapinto.net/towns/west-essex/articles/fairfield-residents-voice-concerns-after-major-flooding,14237,2018-09-02 17:00:00,unknown,Carlos Drive Mudslide,"Flash flooding caused a mudslide on Carlos Drive, possibly originating from house construction.","Carlos Dr, Fairfield, New Jersey, 07004",1km,mudslide,rain,unknown,above_road,,,,,"Landslide trigger was not stated as rain in the article, however it can be assumed that the flash flooding was caused by rain.",GLC,,40.8826421,-74.26526955,United States,US,New Jersey,Essex County,1.65,2020-08-16 16:46:24,2021-04-10 04:41:29,21.tiff
22,114,4608127,"(-156.13614164099997, 20.848343414000055)",Maui Now,https://mauinow.com/2018/11/23/landslide-forces-temporary-closure-of-hana-hwy-in-wailua-2/,14437,2020-08-07 06:00:00,06:00,"Landslide on Hana Hwy, Wailua, Hawaii",A landslide forced a temporary closure of Hana Hwy at mile marker 20.5 near Wailua. The closure lasted 2.5 hours. No further details reported.,"HI-360, Haiku, Hawaii, 96708",1km,landslide,unknown,small,above_road,0.0,0.0,,,,GLC,,20.84834341,-156.13614164,United States,US,Hawaii,Kailua,10.11,2020-08-07 13:21:41.000001,2021-04-10 04:41:29,22.tiff
23,115,4608128,"(-116.84160166099997, 34.17051807300004)",abc7,https://abc7.com/weather/socal-braces-for-rain-possibility-of-mudslides-in-burn-areas/4788090/,14309,2018-11-29 22:00:00,unknown,Lake Williams - Falls Drive Debris Flow,State Route 38 was closed from Lake Williams Drive to Falls Drive due to rock and debris flow from Lake Elsinore following rain over Woolsey and Holy Fire burn area.,"Lake Williams Drive - Falls Drive, State Route 38, San Bernadino, California, 92314",5km,debris_flow,rain,unknown,burned_area,,,,https://pbs.twimg.com/media/DtMvmX3XcAESKEM?format=jpg&name=small,,GLC,,34.17051807,-116.84160166,United States,US,California,Big Bear City,10.04,2020-08-04 21:15:10.000001,2021-04-10 04:44:41,23.tiff
24,116,4608129,"(-74.32438790999998, 41.00056404600008)",northjersey,https://www.northjersey.com/story/news/morris/riverdale/2018/11/03/riverdale-approves-new-homes-mountain-despite-fears-falling-rock/1856957002/,14403,2011-07-01 14:00:00,unknown,Massive rock slide closed Overlook Drive for three days,"In 2011, a massive rock slide closed Overlook Drive for three days, sealing off the main road to the 31 Enclave homes. A temporary road had to be constructed off High Street in Butler.","Overlook Dr, Riverdale, New Jersey, 07457",1km,rock_fall,unknown,medium,above_road,0.0,0.0,,,Estimated date,GLC,,41.00056405,-74.32438791,United States,US,New Jersey,Essex County,14.39,2020-08-04 13:33:59,2021-04-10 04:46:21,24.tiff
25,126,4608139,"(-112.94092074099996, 38.18538086500007)",WRAL,https://www.wral.com/flash-floods-mudslides-surface-in-southern-utah-after-thunderstorms/17698052/,14402,2018-07-12 20:00:00,unknown,Minersville Debris Flow,"After heavy rain and flash flooding, a debris flow was triggered in the Black Mountain Fire burn scar area, closing a stretch of State Route 130 in Beaver County near Minersville.","UT-130, Minersville, Beaver County, Utah, 84751",5km,debris_flow,rain,unknown,burned_area,,,,,,GLC,,38.18538087,-112.94092074,United States,US,Utah,Minersville,3.61,2020-07-20 20:15:25,2021-04-10 04:41:29,25.tiff
26,127,4608140,"(-117.58621236399995, 33.65926634600004)",The Press Enterprise,https://www.pe.com/2018/12/07/rain-has-moved-on-but-mudslide-concerns-remain-for-burn-areas/,14367,2018-12-06 15:00:00,19:00,Debris Flow shuts down Trabuco Canyon Road,Trabuco Canyon road was shutdown after continuous rain caused a debris flow which resulted in guardrails being destroyed on both sides of the road. A debris flow of 252 tons took 12 truckloads and a 2 days to clear.,"31238-31286 Trabuco Canyon Rd, Trabuco Canyon, California, 92679",exact,debris_flow,continuous_rain,medium,burned_area,0.0,0.0,,,this event occured in the vicinity of the Holy fire and Canyon fire,GLC,,33.65926635,-117.58621236,United States,US,California,El Toro Marine Corps Air Station,12.25,2020-07-28 14:18:33,2021-04-10 04:40:41,26.tiff
27,130,4608143,"(-116.66274745399994, 33.68609602200007)",The Press Enterprise,https://www.pe.com/2018/08/17/evacuations-flash-flood-warning-again-issued-for-idyllwild-area-communities/,14409,2018-08-18 06:00:00,01:00,Apple Canyon Rd Debris Flow,Flooding in the burn area above Highway 74 induced a debris flow that closed apple canyon road for 5 hours.,"Apple Canyon Rd, Mountain Center, CA",5km,debris_flow,flooding,medium,burned_area,0.0,0.0,,,,GLC,,33.68609602,-116.66274745,United States,US,California,Palm Springs,20.25,2020-08-31 05:52:14,2021-04-10 04:40:41,27.tiff
28,132,4608145,"(-118.82511313799995, 34.03755903000007)",KTLA5,https://ktla.com/news/local-news/rain-triggers-mudslide-in-malibu-residents-told-to-evacuate-immediately/,14374,2018-11-29 15:00:00,16:00,"Mudslide on Cuthbert Ave, Malibu Park CA",Heavy rains in the Woolsey Fire burn scar caused a mudslide requiring evacuation of Cuthbert Ave from Busch Dr to Phillip Ave.,"29826-29998 Cuthbert Rd, Malibu, California, 90265",1km,debris_flow,downpour,medium,burned_area,0.0,0.0,,,Woolsey fire burn area. Another set of mudslides occur with the heavy rains a few days later (approx 5-6 DEC),GLC,,34.037559030000004,-118.82511314,United States,US,California,Point Mugu Naval Air Station,28.71,2020-08-03 14:29:38.000001,2021-04-10 04:40:41,28.tiff
29,135,4608148,"(-118.83326035899995, 34.027251138000054)",Canyon News,https://www.canyon-news.com/mudslide-shuts-down-malibu-stretch-of-pch/85984,14249,2018-12-07 02:00:00,unknown,Morning View Mudslide,Heavy rain on an area burned by the November Woolsey Fire caused a mudslide on Morning View Rd.,"30425 Morning View Dr, Malibu, California, 90265",1km,mudslide,rain,small,burned_area,,,,,,GLC,,34.02725114,-118.83326036,United States,US,California,Point Mugu Naval Air Station,28.4,2020-07-31 00:37:24.000001,2021-04-10 04:40:41,29.tiff
30,139,4608152,"(-115.77241268999995, 46.12144138100007)",Idaho County Free Press,https://www.idahocountyfreepress.com/news/dispatch-log-icso-gpd-nov-26-dec-2-2018/article_d31fe4c5-f1e9-5686-afa6-a2dcbd657f34.html,14308,2018-11-29 02:00:00,unknown,Kooskia Rockslide,A vehicle accident was caused by a rock fall onto Highway 12 at Mile Post 74 near Kooskia and Elk City.,"7073-7093 US-12, Kooskia, Idaho, 83539",25km,rock_fall,unknown,unknown,above_road,,,,,,GLC,,46.12144138,-115.77241269,United States,US,Idaho,Lowell,13.7,2020-08-04 01:20:53,2021-04-10 04:40:41,30.tiff
31,141,4608154,"(-118.80889687799998, 34.02224297600003)",The Press Enterprise,https://www.pe.com/2018/12/07/rain-has-moved-on-but-mudslide-concerns-remain-for-burn-areas/,14267,2018-12-06 15:00:00,17:00,"Mudslide Temporarily Closes Pacific Coast Highway in Malibu, CA",The heavy rain in the region caused a small mudslide that closed down the Pacific Coast Highway for less than 1 day.,"29151-29155 Pacific Coast Hwy, Malibu, California, 90265",5km,mudslide,continuous_rain,small,above_road,,,,,A second article on the same event remarks that at least one vehicle was reportedly stuck in the mudflow. https://ksco.com/news/55060-mudslide-closes-pacific-coast-highway-12-6-18-17-00-dc,GLC,,34.02224298,-118.80889688,United States,US,California,Point Mugu Naval Air Station,30.7,2020-07-28 14:18:33,2021-04-10 04:47:09,31.tiff
32,143,4608156,"(-107.87244311899997, 37.28532144900004)",KOB,https://www.kob.com/new-mexico-news/repairs-underway-to-train-tracks-north-of-durango/5057965/,14410,2018-07-18 23:00:00,unknown,Durango and Silverton Narrow Gauge Railroad Mudslides,Rain that followed the 416 Fire caused mudslides on the Durango and Silverton Narrow Gauge Railroad that destroyed miles of track.,"Durango and Silverton Narrow Gauge Railroad Mudslides, Durango, CO",10km,mudslide,rain,medium,burned_area,,,,https://www.kob.com/kobtvimages/repository/2018-09/Repairs_underway_to_train_tracks_north_of_Durango-syndImport-112147.jpg,Date determined from other news sources.,GLC,,37.28532145,-107.87244312,United States,US,Colorado,Durango,1.28,2020-08-12 22:43:18,2021-04-10 04:47:57.000001,32.tiff
33,144,4608157,"(-117.42523295099994, 33.616740899000035)",KTLA5,https://ktla.com/news/local-news/powerful-socal-storm-prompts-mudslide-fears-closure-of-malibus-pepperdine-university-campus/,14467,2018-11-28 22:00:00,unknown,Decker Canyon Landslide,A minor slide left rocks and mud on the roadway in Decker Canyon following rain in an area burned by the Woolsey and Hill fires.,"Decker Canyon, California, 92530",5km,landslide,rain,small,burned_area,,,,,,GLC,,33.6167409,-117.42523295,United States,US,California,Lake Elsinore,13.49,2020-08-04 20:40:02,2021-04-10 04:40:41,33.tiff
34,145,4608158,"(-117.43210918799997, 33.758353130000046)",CBS Los Angeles,https://www.periscope.tv/CBSLA/1MnxnNoQmyexO,14426,2018-12-01 21:00:00,12:00,Debris Flow in Temescal Canyon,Temescal Canyon road shut down by slow moving mudflow from Horse Thief Road to Indian Truck Trail. Further details difficult to make out as the source is live streamed news video.,Temescal Canyon,5km,debris_flow,rain,medium,burned_area,,,,,The link is a livestream from a helicopter based news report. The location is specified at 5:50 minutes in. This occurred in vicinity of the Holy Fire burn scar.,GLC,,33.75835313,-117.43210919,United States,US,California,Corona,18.4,2020-08-03 20:10:48,2021-04-10 04:43:03,34.tiff
35,151,4608164,"(-83.69415856099994, 36.71070719800008)",wymt,https://www.wymt.com/content/news/Tree-cutter-flown-out-after-mudslide-in-Bell-County-499846762.html,14316,2018-11-06 21:00:00,12:00,"Tree service worker injured, flown out after mudslide in Bell County",A tree service worker was injured after a minor mudslide on Hwy. 25E in Bell County. One lane was shut down for hours.,"Hwy. 25E in Bell County, Kentucky, 40977",10km,mudslide,unknown,small,above_road,0.0,1.0,,,,GLC,,36.7107072,-83.69415856,United States,US,Kentucky,Pineville,5.18,2020-08-04 20:04:23,2021-04-10 04:45:33,35.tiff
36,153,4608166,"(-117.66687461599997, 34.37088518300004)",The Orange County Register,https://www.ocregister.com/2018/12/06/this-is-what-intense-flooding-in-southern-california-looks-like/,14244,2018-12-07 02:00:00,unknown,Wrightwood Rockfall,Snow conditions and rock fall closed SR 2 west of Wrightwood.,"Wrightwood, California, 92397",10km,rock_fall,snowfall_snowmelt,unknown,above_road,,,,,,GLC,,34.37088518,-117.66687462,United States,US,California,Cajon,18.74,2020-07-31 00:37:24.000001,2021-04-10 04:43:03,36.tiff
37,157,4608170,"(-120.72654322199998, 35.55443895600007)",KSBY,https://www.ksby.com/news/2018/11/29/mudslides-down-trees-collisions-reported-across-slo-county,14449,2018-11-29 22:00:00,07:00,Las Tablas Rd Mudslide,Mudslide triggered by rain closed Las Tablas Rd between Oakdale Rd and Willow Creek Rd near Templeton.,"Las Tablas Rd, Templeton, California, 93465",1km,mudslide,rain,unknown,above_road,,,,,,GLC,,35.55443896,-120.72654322,United States,US,California,Paso Robles,9.49,2020-08-04 21:15:10.000001,2021-04-10 04:47:57.000001,37.tiff
38,158,4608171,"(-117.36260048199995, 33.64697232300006)",WDSM710,https://maps.nccs.nasa.gov/arcgis/apps/webappviewer/index.html?id=824ea5864ec8423fb985b33ee6bc05b7,14253,2018-12-06 23:00:00,unknown,Mudslide prompts evacuation of thousands,"Heavy rains threatened to unleash rivers of mud, boulders and from Lake Elsinore and surrounding Riverside County communities other debris down hillsides",Riverside County,50km,mudslide,rain,small,unknown,0.0,0.0,,,Woolsey Fire has caused high risk of mudslides,GLC,,33.64697232,-117.36260048,United States,US,California,Lake Elsinore,7.75,2020-07-30 21:57:05,2021-04-10 04:44:41,38.tiff
39,159,4608172,"(-74.32406568099998, 40.99750962200005)",northjersey,https://www.northjersey.com/story/news/morris/riverdale/2018/11/03/riverdale-approves-new-homes-mountain-despite-fears-falling-rock/1856957002/,14423,2005-07-01 14:00:00,unknown,Rock slide closed down Timber Ridge Road,"In 2005 a rock slide closed down Timber Ridge Road, one of two ways in and out of Rock Creek Crossing.","Timber Ridge Rd, Riverdale, New Jersey, 07457",exact,rock_fall,unknown,small,above_road,0.0,0.0,,,Estimated date.,GLC,,40.99750962,-74.32406568,United States,US,New Jersey,Essex County,14.06,2020-08-04 13:33:59,2021-04-10 04:43:03,39.tiff
40,162,4608175,"(-117.40507343699994, 33.66648640100004)",The Press Enterprise,https://www.pe.com/2018/12/07/rain-has-moved-on-but-mudslide-concerns-remain-for-burn-areas/,14266,2018-12-06 15:00:00,unknown,"Debris flow on Grand Avenue, Lake Elsinore CA","Two days of heavy rain led to flooding and debris flows in the Lake Elsinore area, on the edge of the path of the Holy Fire. Grand Avenue was shut down from Alvarado (North of the marked point), to Machado (Southeast of Marked point)","14901-14981 Grand Ave, Lake Elsinore, California, 92530",10km,debris_flow,continuous_rain,medium,burned_area,0.0,0.0,,https://www.pe.com/wp-content/uploads/2018/12/RPE-L-WEATHER-1208-01JM-1.jpg?w=802,this rain and debris flow activity is in vicinity of the Holy Fire region and Canyon fire burn-scar area,GLC,,33.666486400000004,-117.40507344,United States,US,California,Lake Elsinore,12.13,2020-07-28 14:18:33,2021-04-10 04:40:41,40.tiff
41,168,4608181,"(-87.82774367999997, 42.84410373500003)",AGU,https://blogs.agu.org/landslideblog/2011/11/01/intriguing-landslide-of-the-week-catastrophic-bluff-collapse-at-oak-creek-in-wisconsin/,14285,2011-10-31 15:00:00,unknown,Bluff collapse at WE Energies plant at Oak Creek in Wisconsin,"a landslide occurred at the WE Energies power station complex near to Oak Creek in southern Wisconsin, on the western edge of Lake Michigan. The landslide has occurred on the southern side of the complex in an area that is being developed for pollution control equipment.  It appears to be a fairly mobile flow slide that covered an area.","Oak Creek, Wisconsin",exact,landslide,unknown,medium,retaining_wall,0.0,0.0,,https://blogs.agu.org/landslideblog/files/2011/11/11_11-Oak-Creek-1.jpg,This is not a rain triggered event. A pond located very close to the crown of the landslide which might have triggered the event.,GLC,,42.84410374,-87.82774368,United States,US,Wisconsin,Horlick Racine,9.63,2020-08-05 15:08:47,2021-04-10 04:42:16,41.tiff
